This is sort by Life Expectancyfor the year 2000.
('Central African Republic', 44.3, 851.0)
('Malawi', 44.6, 884.0)
('Burundi', 44.9, 718.0)
('Zambia', 46.0, 2130.0)
('Zimbabwe', 46.6, 2950.0)
('Eswatini', 48.3, 6170.0)
('Lesotho', 48.9, 1640.0)
('Uganda', 49.1, 1070.0)
('Rwanda', 49.6, 803.0)
('Mozambique', 50.5, 573.0)
('Ethiopia', 50.8, 621.0)
('Sierra Leone', 50.9, 909.0)
('Angola', 51.7, 3890.0)
('Niger', 51.8, 755.0)
('Guinea-Bissau', 52.0, 1410.0)
('Chad', 52.1, 992.0)
("Cote d'Ivoire", 52.3, 2990.0)
('Burkina Faso', 52.4, 1080.0)
('Somalia', 52.5, 603.0)
('"Congo, Rep."', 52.8, 4620.0)
('Eritrea', 53.3, 2490.0)
('Mali', 53.3, 1470.0)
('Tanzania', 53.5, 1570.0)
('"Congo, Dem. Rep."', 53.8, 573.0)
('Botswana', 54.0, 10700.0)
('Liberia', 54.3, 1320.0)
('Guinea', 54.4, 1520.0)
('South Sudan', 54.4, 2800.0)
('Namibia', 54.5, 6540.0)
('Afghanistan', 54.6, 687.0)
('Cameroon', 54.8, 2560.0)
('Nigeria', 55.2, 3070.0)
('Equatorial Guinea', 55.6, 11300.0)
('Kenya', 55.6, 2100.0)
('South Africa', 55.6, 9700.0)
('Papua New Guinea', 56.0, 2620.0)
('Togo', 56.9, 1240.0)
('Lao', 57.1, 2490.0)
('Haiti', 57.4, 1760.0)
('Benin', 57.5, 1670.0)
('Myanmar', 58.7, 1290.0)
('Madagascar', 58.9, 1440.0)
('Gabon', 59.3, 17800.0)
('Kiribati', 59.3, 1990.0)
('Ghana', 59.4, 2220.0)
('Cambodia', 60.2, 1390.0)
('Djibouti', 60.5, 2160.0)
('Senegal', 60.6, 2420.0)
('Solomon Islands', 61.5, 1820.0)
('Comoros', 61.6, 2390.0)
('Gambia', 61.7, 1450.0)
('Marshall Islands', 61.7, 2970.0)
('Pakistan', 61.9, 3400.0)
('Mongolia', 62.0, 4660.0)
('North Korea', 62.1, 1620.0)
('India', 62.9, 2710.0)
('Yemen', 63.3, 4000.0)
('Sudan', 63.4, 2320.0)
('Vanuatu', 63.4, 2820.0)
('Mauritania', 63.5, 2830.0)
('Sao Tome and Principe', 64.6, 1960.0)
('"Micronesia, Fed. Sts."', 65.2, 3120.0)
('Timor-Leste', 65.3, 3270.0)
('Bangladesh', 65.5, 1690.0)
('Kazakhstan', 65.5, 9950.0)
('Russia', 65.5, 14100.0)
('Bhutan', 65.7, 3430.0)
('Nepal', 65.7, 1530.0)
('Fiji', 65.9, 6680.0)
('Guyana', 66.2, 4620.0)
('Bolivia', 66.5, 4370.0)
('Iraq', 66.7, 12200.0)
('Turkmenistan', 66.7, 5330.0)
('Azerbaijan', 66.8, 4600.0)
('Kyrgyz Republic', 66.9, 2080.0)
('Indonesia', 67.3, 5810.0)
('Uzbekistan', 67.3, 2520.0)
('Tajikistan', 67.8, 1190.0)
('Guatemala', 68.0, 6070.0)
('Ukraine', 68.0, 4800.0)
('Moldova', 68.6, 2810.0)
('Egypt', 68.7, 7500.0)
('Belarus', 68.8, 7570.0)
('Morocco', 69.3, 4490.0)
('Philippines', 69.3, 4220.0)
('Suriname', 69.5, 9800.0)
('Belize', 70.3, 6950.0)
('Honduras', 70.4, 3300.0)
