[2000, 44.3, 81.4, 73.9, 67.48609625668449, 9.517975029246056]
[2001, 44.3, 81.7, 74.8, 67.77058823529411, 9.516637450370606]
[2003, 44.5, 82.1, 75.4, 68.25614973262034, 9.478776640533079]
[2004, 43.9, 82.3, 74.4, 68.5085561497326, 9.432313001022056]
[2005, 43.6, 82.3, 79.3, 68.8422459893048, 9.368706850291069]
[2006, 43.9, 82.6, 72.6, 69.19304812834221, 9.234641699905213]
[2007, 44.2, 82.8, 72.8, 69.54224598930479, 9.0805642193266]
[2008, 44.5, 82.9, 75.4, 69.8529411764706, 8.921830747308423]
[2009, 44.9, 83.1, 74.0, 70.21069518716578, 8.705071630650817]
[2010, 32.5, 83.2, 77.6, 70.475935828877, 8.923902212907613]
[2011, 48.0, 83.4, 74.5, 70.91069518716573, 8.343756473840882]
[2012, 48.9, 83.6, 74.7, 71.30909090909088, 8.052333711500568]
[2013, 48.5, 83.9, 75.0, 71.64278074866311, 7.882114555135096]
[2014, 48.7, 84.2, 73.1, 71.86737967914439, 7.751992812133521]
[2015, 50.5, 84.4, 81.5, 72.14438502673795, 7.4966521575559]
[2016, 51.7, 84.7, 61.2, 72.44812834224598, 7.295574901591382]
[2017, 51.9, 84.8, 74.0, 72.73743315508017, 7.070048123786591]
[2018, 52.4, 85.0, 68.8, 72.96902173913048, 6.967643180932314]
[2019, 52.9, 85.1, 69.1, 73.18478260869566, 6.882962806935915]
[2002, 44.4, 82.0, 74.2, 67.97433155080212, 9.512622285663301]
